hotel_id,hotel_name,location,star_rating,user_rating,number_of_reviews,price_per_night,is_luxury,has_wifi,has_breakfast_included,has_free_ca        ncellation,distance_from_city_center,room_availability,booking_count_last_month,cancellation_rate,amenities_score,total_bookings
H10000,Hotel Boutique,Chabahil,4,7.9,1490,10876,FALSE,TRUE,TRUE,TRUE,5.61,13,530,0.31,3,18020
H10001,Hotel Valley,Lazimpat,2,6.4,370,1746,FALSE,TRUE,TRUE,TRUE,0.87,26,434,0.03,3,10850
H10002,Hotel Royal,Baluwatar,5,6.3,774,3184,FALSE,TRUE,TRUE,TRUE,1.55,55,490,0.2,3,12740
H10003,Hotel Valley,Thamel,4,8.7,1983,15052,FALSE,TRUE,TRUE,TRUE,6.12,37,215,0.17,3,10965
H10004,Hotel Heritage,Koteshwor,4,6.2,1910,10576,FALSE,TRUE,TRUE,TRUE,4.29,25,585,0.02,3,21645
H10005,Hotel Annapurna,Gongabu,1,7.1,1248,22705,FALSE,TRUE,FALSE,TRUE,5.57,41,271,0.05,2,3523
H10006,Hotel Heritage,Baneshwor,4,8.3,296,10210,FALSE,TRUE,FALSE,TRUE,6,22,203,0.22,2,11571
H10007,Hotel Heritage,Baluwatar,1,5.4,777,16079,FALSE,TRUE,TRUE,TRUE,2,41,142,0.44,3,6106 
H10008,Hotel Kathmandu,Patan,5,7.9,934,8148,TRUE,TRUE,FALSE,TRUE,4.45,49,211,0.48,2,7385
H10009,Hotel Sagarmatha,Thamel,5,7.8,378,13855,FALSE,TRUE,TRUE,TRUE,10.34,48,207,0.37,3,11799
H10010,Hotel Kathmandu,Baluwatar,5,8.3,1502,16473,FALSE,TRUE,TRUE,TRUE,10.29,1,598,0.12,3,35282
H10011,Hotel Valley,Bhaktapur,3,6.8,908,19408,FALSE,FALSE,TRUE,TRUE,5.94,53,34,0.46,2,510
H10012,Hotel Heritage,Jamal,5,7.2,1219,23557,TRUE,TRUE,TRUE,TRUE,9.01,12,311,0.49,3,9330
H10013,Hotel Sagarmatha,Baluwatar,4,6.6,1507,10734,FALSE,TRUE,TRUE,TRUE,9.07,11,401,0.22,3,6817
H10014,Hotel Kathmandu,Thamel,2,8.9,1094,15219,FALSE,TRUE,TRUE,TRUE,0.62,36,94,0.27,3,1222
H10015,Hotel Heritage,Patan,1,5.6,271,20095,FALSE,TRUE,TRUE,TRUE,7.37,39,407,0.18,3,8140
H10016,Hotel Himalaya,Maharajgunj,3,9.6,797,12238,FALSE,TRUE,FALSE,TRUE,9.67,35,585,0.43,2,25155
H10017,Hotel Kathmandu,Chabahil,5,8,120,24402,FALSE,TRUE,TRUE,TRUE,7.17,2,541,0.16,3,5951
H10018,Hotel Sagarmatha,Swayambhu,5,9.3,1862,15357,TRUE,TRUE,TRUE,TRUE,6.54,3,282,0.06,3,7896
H10019,Hotel Kathmandu,Durbar Marg,2,7,951,8197,FALSE,FALSE,FALSE,TRUE,6.42,30,177,0.23,1,8496
H10020,Hotel Durbar,Teku,2,6.6,150,2702,TRUE,TRUE,TRUE,TRUE,6.14,40,221,0.09,3,2652
H10021,Hotel Durbar,Teku,3,9.3,754,6529,TRUE,TRUE,TRUE,TRUE,9.36,27,420,0.22,3,7560
H10022,Hotel Valley,Boudha,1,5.5,544,8216,TRUE,TRUE,TRUE,TRUE,7.74,39,59,0.3,3,2360
H10023,Hotel Himalaya,Maharajgunj,5,5.6,88,13612,FALSE,TRUE,TRUE,TRUE,2.66,10,196,0.4,3,11172
H10024,Hotel Annapurna,Patan,3,6.4,1527,8655,TRUE,TRUE,TRUE,TRUE,5.26,46,40,0.35,3,1920
H10025,Hotel Annapurna,Chabahil,4,9.6,1064,6417,TRUE,TRUE,TRUE,TRUE,6.39,55,576,0.37,3,31680
H10026,Hotel Sagarmatha,Thamel,4,8,1549,17133,TRUE,TRUE,FALSE,TRUE,5.09,42,124,0.3,2,2604
H10027,Hotel Royal,Boudha,3,7.7,518,7324,FALSE,TRUE,TRUE,FALSE,2.93,15,485,0.05,2,10185
H10028,Hotel Annapurna,Kirtipur,5,8.4,980,21257,FALSE,TRUE,TRUE,FALSE,1.58,37,419,0.44,2,7542
H10029,Hotel Sagarmatha,Kalanki,3,7,1663,9313,FALSE,TRUE,TRUE,TRUE,1.5,28,267,0.35,3,12816
H10030,Hotel Himalaya,Chabahil,5,8.6,75,15459,FALSE,TRUE,TRUE,TRUE,3.63,14,242,0.4,3,9922
H10031,Hotel Royal,Jamal,2,6.9,1543,17649,TRUE,TRUE,FALSE,TRUE,4.89,20,367,0.47,2,5138
H10032,Hotel Royal,Baluwatar,3,9,1945,22762,FALSE,TRUE,TRUE,TRUE,8.23,13,599,0.48,3,10183
H10033,Hotel Durbar,Baneshwor,5,6.3,1404,19508,TRUE,TRUE,TRUE,TRUE,11.82,15,305,0.48,3,15555
H10034,Hotel Valley,Baluwatar,3,6.3,296,17815,FALSE,TRUE,TRUE,TRUE,10.78,26,44,0.14,3,1804
H10035,Hotel Heritage,Maharajgunj,3,7.5,1209,5974,FALSE,TRUE,TRUE,TRUE,9.78,55,329,0.43,3,10199
H10036,Hotel Royal,Bhaktapur,5,7.1,132,21161,FALSE,TRUE,TRUE,TRUE,9.78,27,434,0.48,3,14322
H10037,Hotel Everest,Sankhamul,5,8.1,1264,24421,FALSE,TRUE,TRUE,TRUE,7.19,13,240,0.36,3,8640
H10038,Hotel Sagarmatha,Kirtipur,1,6.7,564,13723,FALSE,TRUE,TRUE,TRUE,3.11,35,579,0.36,3,28950
H10039,Hotel Royal,Patan,3,6.1,1013,16473,TRUE,TRUE,TRUE,TRUE,5.72,9,48,0.44,3,2832
H10040,Hotel Royal,Koteshwor,4,7.3,13,2085,TRUE,TRUE,TRUE,TRUE,1.8,46,501,0.15,3,13026
H10041,Hotel Boutique,Koteshwor,3,7.7,1735,23579,FALSE,TRUE,FALSE,TRUE,6.84,53,200,0.1,2,10800
H10042,Hotel Everest,Bhaktapur,3,5.7,1849,23643,TRUE,TRUE,FALSE,FALSE,0.37,8,256,0.22,1,13568
H10043,Hotel Boutique,Boudha,5,7.7,421,19869,FALSE,TRUE,TRUE,TRUE,2.35,27,517,0.48,3,21197
H10044,Hotel Royal,Baluwatar,3,6.5,259,16771,FALSE,TRUE,TRUE,TRUE,8.58,13,119,0.04,3,6069
H10045,Hotel Heritage,Maharajgunj,3,6.9,1689,9292,FALSE,TRUE,TRUE,TRUE,3.4,18,223,0.23,3,10481
H10046,Hotel Everest,Thamel,4,6.3,1520,22782,FALSE,TRUE,TRUE,TRUE,5.1,56,217,0.35,3,11718
H10047,Hotel Durbar,Baluwatar,5,9.5,1378,11346,TRUE,TRUE,FALSE,TRUE,10,12,221,0.33,2,12597
H10048,Hotel Kathmandu,Swayambhu,3,8.3,1927,22462,TRUE,TRUE,TRUE,TRUE,0.63,58,220,0.41,3,8580
H10049,Hotel Royal,Patan,2,6.3,1366,8202,TRUE,TRUE,TRUE,TRUE,0.37,55,544,0.14,3,24480
H10050,Hotel Royal,Swayambhu,1,8.1,462,20432,FALSE,TRUE,TRUE,TRUE,2.82,50,331,0.12,3,12247
H10051,Hotel Valley,Baneshwor,4,9.1,167,23886,FALSE,TRUE,TRUE,TRUE,8.24,54,335,0.42,3,19765
H10052,Hotel Valley,Lazimpat,3,6.9,1610,14174,FALSE,TRUE,TRUE,TRUE,2.91,36,192,0.41,3,5376
H10053,Hotel Boutique,Boudha,2,9,846,18183,FALSE,TRUE,FALSE,TRUE,10.38,38,84,0.13,2,2268
H10054,Hotel Sagarmatha,Jamal,3,5.7,1023,21206,FALSE,TRUE,TRUE,TRUE,4.29,51,599,0.23,3,31747
H10055,Hotel Heritage,Maharajgunj,3,8.9,1303,6611,FALSE,FALSE,FALSE,TRUE,3.47,2,414,0.23,1,12006
H10056,Hotel Sagarmatha,Gongabu,5,7.6,1620,15191,TRUE,TRUE,FALSE,TRUE,2.87,6,147,0.26,2,2793
H10057,Hotel Kathmandu,Lazimpat,5,6.1,1451,23393,FALSE,TRUE,TRUE,TRUE,6.93,27,38,0.42,3,760
H10058,Hotel Royal,Bhaktapur,5,7,1473,6263,TRUE,TRUE,TRUE,TRUE,10.29,13,530,0.31,3,25970
H10059,Hotel Heritage,Swayambhu,2,9.7,1062,9626,FALSE,TRUE,TRUE,TRUE,4.93,53,457,0.26,3,25592
H10060,Hotel Everest,Chabahil,3,8.8,987,22954,TRUE,TRUE,FALSE,TRUE,3.1,36,120,0.15,2,5160
H10061,Hotel Royal,Kirtipur,1,7.8,344,12996,FALSE,TRUE,TRUE,TRUE,5.11,47,41,0.03,3,1968
H10062,Hotel Durbar,Patan,4,5.6,1271,11805,FALSE,TRUE,TRUE,TRUE,10.87,51,506,0.46,3,23782
H10063,Hotel Royal,Maharajgunj,5,7,162,10107,TRUE,TRUE,TRUE,TRUE,4.08,21,420,0.36,3,10920
H10064,Hotel Annapurna,Chabahil,5,6.3,1639,11467,FALSE,TRUE,TRUE,TRUE,7.9,30,141,0.05,3,8178
H10065,Hotel Heritage,Sankhamul,3,5.3,758,22024,TRUE,TRUE,TRUE,TRUE,4.02,0,41,0.16,3,1312
H10066,Hotel Annapurna,Chabahil,3,7.6,843,22717,FALSE,TRUE,TRUE,TRUE,8.13,46,505,0.33,3,8080
H10067,Hotel Boutique,Boudha,2,9.3,1148,9839,FALSE,TRUE,TRUE,TRUE,10.58,11,68,0.11,3,1020
H10068,Hotel Valley,Gongabu,2,8.2,817,19679,FALSE,TRUE,TRUE,TRUE,7.22,23,268,0.06,3,13668
H10069,Hotel Everest,Jamal,5,6.2,1764,13270,FALSE,TRUE,TRUE,TRUE,11.37,29,532,0.28,3,17556
H10070,Hotel Royal,Teku,3,7.8,767,18815,FALSE,TRUE,FALSE,TRUE,7.26,53,391,0.17,2,6647
H10071,Hotel Boutique,Jamal,1,9.5,1432,22556,FALSE,TRUE,TRUE,TRUE,11.7,45,399,0.42,3,5187
H10072,Hotel Boutique,Boudha,4,8.5,1065,14887,FALSE,TRUE,TRUE,TRUE,8.71,47,86,0.48,3,2236
H10073,Hotel Everest,Patan,3,8.3,541,3361,FALSE,TRUE,FALSE,TRUE,7.87,26,590,0.3,2,6490
H10074,Hotel Himalaya,Patan,3,9.6,62,24925,FALSE,TRUE,FALSE,TRUE,9.98,15,485,0.36,2,15035
H10075,Hotel Royal,Thamel,2,8.8,727,13324,TRUE,TRUE,TRUE,TRUE,0.23,20,539,0.49,3,24255
H10076,Hotel Annapurna,Boudha,4,5.7,1764,1723,FALSE,TRUE,TRUE,TRUE,3.16,55,16,0.12,3,400
H10077,Hotel Heritage,Boudha,5,6.7,1228,2547,TRUE,TRUE,TRUE,TRUE,2.67,3,505,0.45,3,29290
H10078,Hotel Annapurna,Baluwatar,3,9.6,1338,9275,FALSE,FALSE,FALSE,TRUE,1.42,1,224,0.28,1,6720
H10079,Hotel Everest,Teku,5,7.4,1740,14405,FALSE,TRUE,TRUE,TRUE,11.26,20,321,0.1,3,15729
H10080,Hotel Kathmandu,Thamel,3,5.5,354,2365,TRUE,TRUE,TRUE,TRUE,1.66,6,551,0.15,3,9367
H10081,Hotel Royal,Kalanki,5,7.2,1115,14659,FALSE,TRUE,FALSE,TRUE,3.23,36,133,0.35,2,2128
H10082,Hotel Durbar,Lazimpat,4,8.3,10,4853,FALSE,TRUE,TRUE,TRUE,4.09,6,226,0.46,3,3616
H10083,Hotel Sagarmatha,Gongabu,2,9.8,176,5682,FALSE,TRUE,TRUE,TRUE,7.53,1,382,0.07,3,4966
H10084,Hotel Heritage,Man harajgunj,4,6.6,326,12391,TRUE,TRUE,FALSE,TRUE,9.23,11,206,0.32,2,7004
H10085,Hotel Durbar,Thamel,1,7.5,1216,6960,FALSE,TRUE,TRUE,TRUE,7.3,0,237,0.19,3,3555
H10086,Hotel Durbar,Maharajgunj,2,9.2,974,22541,FALSE,TRUE,TRUE,FALSE,9.01,2,245,0.17,2,6615
H10087,Hotel Royal,Chabahil,4,6.7,907,20882,TRUE,TRUE,FALSE,TRUE,4.89,0,344,0.1,2,17888
H10088,Hotel Kathmandu,Baneshwor,1,5.5,1895,16464,FALSE,TRUE,TRUE,TRUE,11.95,34,464,0.45,3,11136
H10089,Hotel Royal,Baneshwor,3,9.6,282,20369,FALSE,TRUE,TRUE,TRUE,2.12,15,183,0.19,3,5490
H10090,Hotel Kathmandu,Chabahil,3,7.3,1702,13286,FALSE,TRUE,TRUE,FALSE,4.86,50,329,0.23,2,8225
H10091,Hotel Himalaya,Durbar Marg,5,7.4,382,2567,FALSE,TRUE,TRUE,TRUE,10,7,91,0.11,3,4823
H10092,Hotel Heritage,Maharajgunj,2,8,1395,24053,FALSE,TRUE,TRUE,TRUE,3.04,20,532,0.31,3,17556
H10093,Hotel Everest,Kalanki,3,5,909,5191,FALSE,TRUE,TRUE,TRUE,9.04,50,370,0.23,3,7400
H10094,Hotel Valley,Boudha,2,9.5,210,10718,FALSE,TRUE,TRUE,TRUE,4.43,4,95,0.1,3,1520
H10095,Hotel Everest,Teku,3,6.7,1225,24540,FALSE,TRUE,TRUE,TRUE,2.21,55,18,0.16,3,918
H10096,Hotel Durbar,Bhaktapur,5,6.9,1374,23901,FALSE,TRUE,TRUE,FALSE,4.9,57,33,0.2,2,396
H10097,Hotel Sagarmatha,Kalanki,4,5.8,1332,6135,FALSE,TRUE,TRUE,FALSE,9.44,30,355,0.05,2,16330
H10098,Hotel Himalaya,Kirtipur,5,6.8,1539,7751,FALSE,TRUE,TRUE,TRUE,1.43,58,139,0.04,3,6950
H10099,Hotel Everest,Patan,1,8.9,1621,9209,TRUE,TRUE,TRUE,TRUE,6.24,25,432,0.5,3,13392
H10100,Hotel Everest,Kirtipur,3,8.8,149,12672,FALSE,TRUE,FALSE,FALSE,8.92,0,338,0.46,1,11830
H10101,Hotel Sagarmatha,Kalanki,1,9.5,315,8174,FALSE,TRUE,TRUE,TRUE,9.04,22,448,0.3,3,5824
H10102,Hotel Sagarmatha,Maharajgunj,1,6.9,1229,19103,TRUE,TRUE,TRUE,TRUE,4.74,12,569,0.13,3,14225
H10103,Hotel Everest,Swayambhu,2,8.4,1094,9061,TRUE,TRUE,TRUE,TRUE,5.65,31,486,0.12,3,12636
H10104,Hotel Boutique,Chabahil,3,7.4,369,21398,FALSE,TRUE,TRUE,TRUE,10.3,4,334,0.23,3,9352
H10105,Hotel Annapurna,Patan,1,8.9,316,14265,FALSE,FALSE,TRUE,FALSE,2.58,19,563,0.2,1,13512
H10106,Hotel Sagarmatha,Teku,4,8.4,1513,1878,FALSE,TRUE,TRUE,TRUE,11.91,50,404,0.37,3,6464
H10107,Hotel Annapurna,Bhaktapur,1,6.8,342,9785,TRUE,TRUE,TRUE,TRUE,5.09,27,51,0.21,3,561
H10108,Hotel Heritage,Swayambhu,4,6.6,1899,13930,TRUE,TRUE,TRUE,TRUE,3.38,6,425,0.48,3,20825
H10109,Hotel Himalaya,Boudha,2,6.2,1116,7272,FALSE,TRUE,FALSE,FALSE,0.13,59,163,0.13,1,8802
H10110,Hotel Boutique,Kalanki,1,7.8,343,13742,FALSE,TRUE,TRUE,TRUE,1.59,57,516,0.02,3,27864
H10111,Hotel Sagarmatha,Patan,5,9.6,526,18993,FALSE,TRUE,TRUE,TRUE,9.1,12,318,0.31,3,10176
H10112,Hotel Heritage,Boudha,2,6,740,7714,FALSE,TRUE,TRUE,TRUE,7.83,31,346,0.49,3,5882
H10113,Hotel Kathmandu,Jamal,4,5.5,933,6109,FALSE,TRUE,TRUE,TRUE,3.03,45,385,0.43,3,3850
H10114,Hotel Durbar,Lazimpat,2,5.6,775,19832,TRUE,TRUE,TRUE,TRUE,11.13,17,101,0.01,3,2626
H10115,Hotel Annapurna,Kirtipur,1,8.8,1507,13749,FALSE,TRUE,TRUE,TRUE,10.04,45,154,0.29,3,7392
H10116,Hotel Boutique,Swayambhu,3,6.7,1427,16888,TRUE,TRUE,TRUE,TRUE,3.3,44,35,0.23,3,595
H10117,Hotel Boutique,Boudha,3,6.1,1633,3136,TRUE,TRUE,TRUE,TRUE,4.03,7,173,0.39,3,5190
H10118,Hotel Himalaya,Maharajgunj,4,6.7,1754,17020,FALSE,TRUE,TRUE,TRUE,2.3,28,13,0.13,3,767
H10119,Hotel Annapurna,Thamel,4,8.1,1725,7966,FALSE,TRUE,FALSE,TRUE,7.75,19,180,0.13,2,9180
H10120,Hotel Kathmandu,Swayambhu,3,7.6,1753,3053,FALSE,TRUE,TRUE,TRUE,8.44,25,421,0.17,3,14735
H10121,Hotel Himalaya,Durbar Marg,4,8.6,794,8763,FALSE,TRUE,TRUE,FALSE,4.81,17,471,0.13,2,18840
H10122,Hotel Boutique,Lazimpat,2,6.6,1610,14232,FALSE,TRUE,TRUE,TRUE,8.87,45,293,0.02,3,12306
H10123,Hotel Everest,Jamal,5,7.2,1413,1083,FALSE,TRUE,TRUE,TRUE,11.9,1,457,0.32,3,17823
H10124,Hotel Kathmandu,Maharajgunj,5,5.5,30,17025,FALSE,TRUE,TRUE,TRUE,7.38,42,451,0.31,3,17589
H10125,Hotel Boutique,Teku,2,5.4,1983,16431,FALSE,TRUE,TRUE,FALSE,7.83,46,507,0.43,2,22815
H10126,Hotel Royal,Baneshwor,5,7.2,888,20052,FALSE,TRUE,TRUE,FALSE,4.55,41,313,0.35,2,9390
H10127,Hotel Royal,Kalanki,1,6.4,186,6231,FALSE,TRUE,TRUE,TRUE,0.23,48,375,0.32,3,18750
H10128,Hotel Sagarmatha,Kalanki,2,7.9,1396,11411,FALSE,TRUE,TRUE,TRUE,11.45,57,292,0.12,3,13432
H10129,Hotel Himalaya,Gongabu,4,5.2,31,9890,FALSE,FALSE,FALSE,FALSE,9.29,23,196,0.37,0,5880
H10130,Hotel Boutique,Maharajgunj,2,5.6,846,19204,FALSE,TRUE,TRUE,TRUE,8.38,42,429,0.43,3,16302
H10131,Hotel Sagarmatha,Chabahil,3,9.2,969,13817,FALSE,TRUE,TRUE,FALSE,0.45,7,471,0.23,2,8007
H10132,Hotel Himalaya,Lazimpat,4,7.7,557,21798,FALSE,TRUE,TRUE,TRUE,9.13,21,50,0.27,3,2400
H10133,Hotel Kathmandu,Teku,3,8.4,259,24633,TRUE,TRUE,TRUE,FALSE,8.07,33,410,0.39,2,5740
H10134,Hotel Boutique,Maharajgunj,4,9,670,10290,FALSE,TRUE,TRUE,TRUE,6.87,31,104,0.24,3,2392
H10135,Hotel Himalaya,Lazimpat,5,7.2,961,7572,FALSE,FALSE,TRUE,TRUE,7.52,34,157,0.34,2,4710
H10136,Hotel Boutique,Baneshwor,2,8.7,1106,3894,FALSE,TRUE,TRUE,TRUE,11.03,24,488,0.12,3,22936
H10137,Hotel Everest,Patan,1,7.5,1124,4417,TRUE,TRUE,TRUE,TRUE,0.18,6,81,0.3,3,1944
H10138,Hotel Durbar,Kirtipur,4,6.1,1209,17632,FALSE,TRUE,TRUE,TRUE,1.97,13,100,0.03,3,3900
H10139,Hotel Valley,Baluwatar,4,6.6,135,8810,TRUE,TRUE,TRUE,TRUE,10.75,43,123,0.11,3,1968
H10140,Hotel Royal,Kirtipur,3,7.4,1237,13674,FALSE,TRUE,TRUE,TRUE,0.2,28,246,0.46,3,8856
H10141,Hotel Durbar,Baluwatar,5,6.5,1947,11149,FALSE,TRUE,FALSE,TRUE,10.85,36,23,0.3,2,391
H10142,Hotel Himalaya,Maharajgunj,3,6.6,1279,19274,FALSE,TRUE,TRUE,FALSE,0.45,36,82,0.23,2,3608
H10143,Hotel Valley,Kalanki,3,6.6,620,8880,FALSE,TRUE,TRUE,TRUE,9.37,6,25,0.27,3,1250
H10144,Hotel Durbar,Gongabu,5,5.6,1304,13650,TRUE,TRUE,TRUE,TRUE,10.7,32,54,0.01,3,2592
H10145,Hotel Everest,Lazimpat,1,5.4,1019,3115,FALSE,TRUE,TRUE,TRUE,7.39,16,65,0.24,3,2600
H10146,Hotel Royal,Bhaktapur,3,5.2,53,7581,FALSE,FALSE,FALSE,TRUE,7.73,18,340,0.08,1,18360
H10147,Hotel Heritage,Lazimpat,3,5.5,1767,20447,FALSE,TRUE,TRUE,TRUE,0.7,24,361,0.43,3,14079
H10148,Hotel Himalaya,Thamel,4,6.6,1974,6651,FALSE,TRUE,TRUE,TRUE,2.61,7,76,0.21,3,2736
H10149,Hotel Royal,Lazimpat,5,7.9,1642,2806,TRUE,TRUE,TRUE,TRUE,10.8,11,353,0.12,3,3530
H10150,Hotel Durbar,Gongabu,2,5.9,557,8300,FALSE,TRUE,TRUE,FALSE,9.9,2,439,0.26,2,18438
H10151,Hotel Heritage,Swayambhu,1,9.3,1201,20078,FALSE,TRUE,TRUE,FALSE,0.81,30,438,0.19,2,10074
H10152,Hotel Annapurna,Baneshwor,1,8.9,444,11183,FALSE,TRUE,TRUE,TRUE,9.77,43,61,0.24,3,976
H10153,Hotel Royal,Chabahil,5,7.5,1063,17223,FALSE,TRUE,TRUE,TRUE,5.14,7,201,0.37,3,10452
H10154,Hotel Annapurna,Kirtipur,4,8.5,803,15368,FALSE,TRUE,TRUE,TRUE,6.77,3,540,0.26,3,16740
H10155,Hotel Valley,Patan,4,6.8,1630,6493,TRUE,TRUE,TRUE,TRUE,1.39,31,259,0.46,3,3626
H10156,Hotel Kathmandu,Maharajgunj,5,5.2,366,5650,TRUE,TRUE,TRUE,TRUE,4.84,6,561,0.14,3,16830
H10157,Hotel Boutique,Bhaktapur,4,9.3,1524,13067,FALSE,TRUE,TRUE,TRUE,5.28,13,186,0.17,3,10974
H10158,Hotel Valley,Kirtipur,1,5.6,1666,17225,FALSE,TRUE,TRUE,TRUE,8.07,33,271,0.39,3,10840
